# Station Name: Dixon Springs-Grass
# Station Code: DXG
# Station Latitude: 37.450000
# Station Longitude: 88.670000
# Station Altitude: 165.000000
Year	  MO	  DY	 Sta	 0-10cm 	 10-30  	 30-50  	 50-70  	 70-90  	 90-110 	 110-130	 130-150	 150-170	 170-190	 190-200
1981	   4	  29	  82	 35.70  	 51.03  	 63.97  	 68.18  	 64.69  	 63.80  	 58.36  	 58.74  	 56.74  	 57.69  	 30.87
1981	   6	   3	  82	 38.79  	 64.05  	 71.99  	 79.42  	 72.02  	 68.56  	 60.43  	 59.90  	 59.78  	 62.52  	 32.14
1981	   6	  30	  82	 33.96  	 48.70  	 59.66  	 65.62  	 63.30  	 63.26  	 57.25  	 55.39  	 54.43  	 61.07  	 30.53
1981	   7	   8	  82	 40.05  	 60.79  	 68.83  	 74.68  	 66.40  	 65.89  	 59.28  	 57.66  	 57.95  	 60.88  	 32.62
1981	   7	  13	  82	 38.11  	 58.38  	 65.69  	 68.62  	 68.46  	 63.11  	 59.81  	 58.06  	 58.73  	 63.61  	 31.26
1981	   7	  28	  82	 20.66  	 63.08  	 76.81  	 73.48  	 69.46  	 65.46  	 60.59  	 57.95  	 57.42  	 63.51  	 32.05
1981	   8	  12	  82	 40.95  	 56.57  	 66.33  	 68.25  	 67.41  	 62.33  	 58.56  	 58.90  	 57.68  	 63.71  	 31.75
1981	   8	  26	  82	 31.72  	 48.05  	 61.00  	 66.45  	 67.77  	 63.15  	 60.00  	 57.11  	 56.30  	 64.67  	 30.89
1981	   9	  16	  82	 29.37  	 47.78  	 60.68  	 67.63  	 66.65  	 64.40  	 59.92  	 58.60  	 59.03  	 62.93  	 32.48
1981	   9	  28	  82	 18.00  	 84.17  	 57.50  	 59.72  	 63.96  	 61.54  	 58.77  	 56.33  	 56.83  	 61.79  	 30.20
1981	  10	  14	  82	 15.16  	 36.67  	 60.01  	 63.38  	 66.15  	 66.71  	 61.58  	 59.96  	 59.66  	 65.02  	 32.98
1981	  10	  27	  82	 29.08  	 44.64  	 56.34  	 61.39  	 65.20  	 63.00  	 58.15  	 57.67  	 57.53  	 63.17  	 32.74
1981	  11	  12	  82	 22.58  	 45.66  	 57.71  	 60.40  	 66.53  	 64.12  	 60.61  	 58.93  	 58.54  	 64.08  	 32.72
1981	  11	  30	  82	 45.39  	 77.72  	 89.39  	 79.55  	 81.50  	 80.31  	 76.26  	 75.11  	 72.53  	 77.23  	 39.50
1981	  12	  29	  82	 34.08  	 63.15  	 74.14  	 70.26  	 66.35  	 66.82  	 59.31  	 58.22  	 55.84  	 60.18  	 32.39
1982	   1	  26	  82	 41.73  	 60.49  	 69.04  	 68.88  	 65.09  	 62.54  	 57.89  	 56.31  	 55.34  	 59.78  	 30.27
1982	   2	  24	  82	 40.20  	 61.52  	 69.21  	 63.87  	 66.38  	 63.09  	 56.05  	 57.66  	 55.37  	 60.89  	 31.35
1982	   3	  15	  82	 53.64  	 68.22  	 74.58  	 73.06  	 68.95  	 66.12  	 61.39  	 58.02  	 58.16  	 63.76  	 33.46
1982	   3	  30	  82	 40.78  	 57.17  	 65.77  	 71.04  	 66.34  	 62.68  	 58.70  	 56.03  	 54.61  	 60.89  	 31.30
1982	   4	  16	  82	 41.10  	 62.55  	 68.30  	 74.73  	 69.37  	 67.10  	 63.44  	 61.91  	 62.02  	 64.97  	 32.55
1982	   4	  27	  82	 38.07  	 56.02  	 65.69  	 66.97  	 66.72  	 66.73  	 59.51  	 59.97  	 58.21  	 64.00  	 32.35
1982	   5	  13	  82	 35.82  	 58.98  	 66.87  	 68.29  	 66.28  	 65.89  	 63.63  	 60.31  	 60.76  	 63.01  	 32.53
1982	   5	  26	  82	 31.38  	 48.97  	 60.81  	 64.49  	 66.35  	 66.02  	 60.92  	 57.73  	 57.53  	 61.17  	 31.24
1982	   6	  14	  82	 29.59  	 52.25  	 64.05  	 68.62  	 69.11  	 66.43  	 63.18  	 61.49  	 60.40  	 62.15  	 32.66
1982	   6	  29	  82	 25.26  	 45.52  	 63.99  	 66.87  	 70.80  	 65.97  	 60.24  	 60.46  	 58.97  	 62.63  	 32.44
1982	   7	  13	  82	 31.08  	 54.53  	 65.26  	 66.68  	 69.68  	 65.35  	 60.02  	 59.60  	 60.38  	 62.54  	 32.05
1982	   7	  30	  82	 18.82  	 33.26  	 63.22  	 66.76  	 70.50  	 65.98  	 63.12  	 59.79  	 62.17  	 64.75  	 32.38
1982	   8	  10	  82	 17.65  	 30.45  	 56.50  	 63.79  	 67.62  	 68.93  	 62.52  	 61.86  	 58.71  	 64.64  	 32.70
1982	   8	  31	  82	 27.20  	 50.91  	 62.82  	 63.07  	 65.57  	 66.21  	 62.16  	 61.00  	 58.92  	 62.06  	 32.17
1982	   9	  14	  82	 30.83  	 56.66  	 65.27  	 69.94  	 71.38  	 69.84  	 63.85  	 62.91  	 62.84  	 65.52  	 33.40
1982	   9	  28	  82	 23.64  	 46.79  	 62.45  	 65.36  	 66.98  	 69.12  	 62.62  	 61.15  	 59.56  	 64.60  	 32.90
1982	  10	  26	  82	 25.67  	 46.36  	 61.20  	 62.83  	 66.53  	 67.49  	 60.91  	 60.69  	 60.52  	 63.26  	 32.80
1982	  11	  30	  82	 42.41  	 69.68  	 77.70  	 74.51  	 69.51  	 66.23  	 62.99  	 61.86  	 61.19  	 66.12  	 33.43
1982	  12	  14	  82	 40.30  	 64.94  	 75.79  	 72.87  	 67.95  	 68.36  	 61.43  	 60.93  	 60.16  	 63.32  	 33.02
1982	  12	  28	  82	 49.43  	 69.36  	 75.52  	 74.06  	 67.46  	 68.40  	 61.05  	 60.52  	 60.23  	 64.64  	 32.70
1983	   1	  26	  82	 46.87  	 65.65  	 78.59  	 76.39  	 69.72  	 70.43  	 63.25  	 63.51  	 63.26  	 66.15  	 33.91
1983	   2	  23	  82	 33.39  	 61.01  	 70.55  	 75.31  	 69.37  	 68.57  	 61.52  	 61.87  	 59.92  	 64.66  	 33.30
1983	   3	  16	  82	 34.21  	 62.00  	 72.90  	 77.99  	 73.69  	 72.27  	 64.43  	 65.73  	 64.79  	 67.07  	 34.31
1983	   3	  29	  82	 39.97  	 65.33  	 76.28  	 78.06  	 72.12  	 68.52  	 61.88  	 60.45  	 59.53  	 65.92  	 33.89
1983	   4	  13	  82	 51.51  	 72.75  	 80.10  	 77.55  	 72.44  	 71.39  	 64.25  	 63.10  	 61.92  	 68.25  	 33.87
1983	   4	  27	  82	 41.63  	 58.18  	 67.75  	 71.54  	 70.06  	 66.65  	 61.04  	 60.60  	 60.15  	 64.25  	 33.20
1983	   5	  17	  82	 41.40  	 62.73  	 69.52  	 74.14  	 66.82  	 68.34  	 62.54  	 59.96  	 60.56  	 64.39  	 32.54
1983	   6	   1	  82	 39.39  	 55.94  	 65.34  	 70.54  	 69.49  	 68.21  	 61.70  	 59.80  	 62.12  	 63.67  	 32.00
1983	   6	  14	  82	 22.31  	 43.44  	 63.52  	 67.28  	 70.37  	 69.29  	 62.57  	 61.61  	 60.83  	 65.09  	 33.68
1983	   6	  28	  82	 48.38  	 63.48  	 74.98  	 73.69  	 71.20  	 68.75  	 62.25  	 61.99  	 63.03  	 65.24  	 33.73
1983	   7	  12	  82	 28.49  	 51.06  	 65.03  	 67.24  	 70.20  	 68.00  	 62.86  	 60.40  	 60.75  	 62.77  	 33.00
1983	   7	  27	  82	 11.13  	 18.80  	 61.25  	 66.94  	 69.09  	 69.39  	 62.63  	 62.65  	 59.71  	 64.39  	 32.67
1983	   8	  16	  82	  0.86  	  4.10  	 41.76  	 57.02  	 69.68  	 71.77  	 65.14  	 63.06  	 62.94  	 69.18  	 35.70
1983	   8	  30	  82	  4.78  	 13.65  	 33.59  	 41.70  	 59.98  	 67.44  	 60.60  	 62.23  	 60.56  	 65.37  	 32.77
1983	   9	  13	  82	  8.68  	 12.75  	 30.84  	 37.99  	 55.83  	 66.03  	 60.66  	 62.04  	 61.87  	 63.94  	 32.20
1983	   9	  28	  82	  4.42  	 11.66  	 31.50  	 36.81  	 53.21  	 65.70  	 61.14  	 60.81  	 60.87  	 64.05  	 32.74
1983	  10	  26	  82	 33.04  	 56.41  	 64.60  	 58.77  	 53.58  	 63.80  	 59.13  	 61.66  	 58.70  	 61.16  	 31.65
1983	  11	  30	  82	 41.58  	 67.05  	 75.88  	 75.06  	 69.93  	 69.11  	 61.14  	 61.72  	 61.09  	 65.12  	 33.82
1983	  12	  30	  82	 40.37  	 67.42  	 61.53  	 66.77  	 69.29  	 69.55  	 61.37  	 60.62  	 58.09  	 63.21  	 32.96
1984	   1	  31	  82	 47.64  	 64.18  	 62.62  	 67.58  	 68.55  	 66.86  	 60.14  	 57.61  	 57.72  	 60.25  	 33.08
1984	   2	  14	  82	 54.39  	 71.02  	 72.22  	 76.21  	 72.68  	 70.49  	 62.48  	 62.61  	 61.54  	 60.24  	 30.12
1984	   3	   8	  82	 48.89  	 79.51  	 81.94  	 87.63  	 84.26  	 79.04  	 73.94  	 73.13  	 70.57  	 73.47  	 38.88
1984	   3	  20	  82	 61.71  	 82.08  	 82.20  	 87.85  	 80.23  	 78.62  	 72.49  	 70.76  	 69.61  	 73.88  	 37.98
1984	   4	   4	  82	 54.42  	 81.72  	 82.77  	 87.89  	 79.85  	 78.34  	 70.42  	 72.28  	 71.59  	 74.03  	 38.41
1984	   4	  23	  82	 53.18  	 79.94  	 79.94  	 85.15  	 79.36  	 78.09  	 70.80  	 71.27  	 71.50  	 72.65  	 37.72
1984	   5	   2	  82	 48.05  	 73.67  	 74.48  	 80.41  	 78.43  	 79.13  	 70.42  	 69.96  	 71.23  	 73.21  	 37.47
1984	   5	  22	  82	 41.48  	 67.43  	 72.09  	 75.95  	 77.81  	 77.46  	 72.33  	 71.28  	 71.16  	 73.26  	 37.86
1984	   6	   5	  82	 33.50  	 55.33  	 69.30  	 74.53  	 75.23  	 75.58  	 71.97  	 70.11  	 71.97  	 72.90  	 37.56
1984	   6	  15	  82	 12.83  	 44.28  	 70.16  	 73.14  	 77.07  	 78.39  	 73.50  	 72.66  	 73.14  	 75.88  	 38.72
1984	   6	  28	  82	 22.38  	 52.79  	 72.51  	 74.47  	 77.95  	 79.56  	 75.18  	 68.31  	 77.15  	 80.98  	 38.57
1984	   7	  17	  82	999.99  	 33.97  	 66.60  	 72.91  	 75.49  	 79.49  	 75.31  	 74.34  	 75.49  	 77.62  	 40.28
1984	   8	  14	  82	 13.44  	 19.37  	 50.37  	 60.18  	 71.49  	 78.62  	 73.81  	 73.90  	 74.88  	 76.39  	 39.27
1984	   8	  28	  82	 12.88  	 18.32  	 46.04  	 53.02  	 69.38  	 78.24  	 73.41  	 74.57  	 73.94  	 77.52  	 39.52
1984	   9	  11	  82	 28.35 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1984	  11	   1	  82	 58.57  	 81.84  	 87.16  	 88.41  	 80.68  	 79.27  	 74.20  	 71.71  	 72.79  	 74.70  	 38.72
1984	  11	  27	  82	 62.01 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1985	   1	   3	  82	999.99  	 77.72  	 87.15  	 87.31  	 81.25  	 78.13  	 72.23  	 71.74  	 72.07  	 74.69  	 39.15
1985	   1	  30	  82	999.99  	 67.38  	 73.68  	 75.21  	 77.88  	 78.20  	 71.98  	 70.20  	 69.32  	 73.76  	 37.53
1985	   3	  21	  82	 48.33  	 70.90  	 77.04  	 81.80  	 80.02  	 77.92  	 73.24  	 70.18  	 72.27  	 73.73  	 38.76
1985	   3	  28	  82	 42.72  	 71.10  	 77.97  	 85.83  	 83.35  	 80.04  	 74.91  	 72.92  	 73.83  	 76.64  	 38.11
1985	   4	  17	  82	 43.60  	 75.40  	 85.58  	 88.81  	 82.02  	 79.46  	 74.49  	 72.17  	 73.58  	 75.40  	 38.94
1985	   4	  26	  82	 46.06  	 71.94  	 77.45  	 83.29  	 82.04  	 81.37  	 76.20  	 75.03  	 74.61  	 78.78  	 39.98
1985	   5	  13	  82	 38.94  	 70.41  	 77.37  	 80.51  	 82.59  	 80.76  	 74.72  	 72.48  	 72.73  	 76.46  	 39.10
1985	   5	  30	  82	 32.71  	 66.51  	 76.14  	 77.96  	 82.03  	 80.78  	 75.39  	 73.40  	 74.31  	 76.72  	 39.48
1985	   6	  14	  82	 34.08  	 74.03  	 80.24  	 88.70  	 82.65  	 80.41  	 74.61  	 73.78  	 74.03  	 75.77 -	999.99
1985	   6	  28	  82	 43.31  	 80.64  	 85.66  	 88.70  	 82.20  	 79.89  	 73.64  	 72.41  	 73.06  	 74.88 -	999.99
1985	   7	  16	  82	 27.22  	 55.57  	 71.37  	 74.60  	 76.58  	 80.06  	 73.69  	 72.61  	 75.18  	 75.59  	 38.95
1985	   7	  29	  82	 20.55  	 42.93  	 65.10  	 71.49  	 75.47  	 78.46  	 74.56  	 72.40  	 74.56  	 76.30  	 38.90
1985	   8	  15	  82	 40.14  	 72.62  	 79.25  	 83.89  	 80.41  	 80.66  	 75.69  	 72.29  	 73.36  	 76.02  	 39.58
1985	   8	  30	  82	 31.56  	 69.00  	 77.81  	 79.39  	 81.89  	 80.47  	 74.15  	 73.24  	 73.57  	 76.65  	 39.57
1985	   9	  12	  82	 31.01  	 67.82  	 75.67  	 78.43  	 81.10  	 81.35  	 75.67  	 72.42  	 73.92  	 76.68  	 40.09
1985	   9	  27	  82	 28.56  	 63.39  	 72.13  	 74.88  	 74.38  	 79.79  	 74.96  	 72.71  	 72.63  	 76.71  	 39.27
1985	  10	  17	  82	 34.12  	 70.38  	 77.79  	 79.37  	 79.87  	 80.87  	 74.96  	 72.46  	 73.88  	 77.21 -	999.99
1985	  11	   4	  82	 44.94  	 78.43  	 85.36  	 89.07  	 82.14  	 81.89  	 75.54  	 73.15  	 72.74  	 75.87  	 40.04
1985	  11	  22	  82	 44.26  	 77.37  	 87.47  	 88.14  	 82.01  	 81.84  	 74.14  	 73.56  	 74.80  	 77.12  	 39.84
1985	  12	  30	  82	 39.03  	 67.79  	 74.47  	 79.27  	 79.43  	 79.27  	 74.14  	 72.02  	 72.51  	 74.71  	 39.35
1986	   1	  28	  82	 39.31  	 67.98  	 76.37  	 80.04  	 80.69  	 81.02  	 74.91  	 71.57  	 73.60  	 76.37  	 39.65
1986	   2	  25	  82	 43.23  	 72.26  	 78.66  	 89.58  	 82.44  	 81.21  	 74.48  	 73.00  	 73.08  	 77.35  	 39.46
1986	   3	  14	  82	 47.11  	 76.55  	 85.04  	 86.43  	 83.90  	 79.98  	 74.26  	 72.22  	 74.02  	 77.04  	 39.54
1986	   3	  31	  82	 37.36  	 67.76  	 75.19  	 78.66  	 81.13  	 80.39  	 74.78  	 72.88  	 73.87  	 78.00  	 39.25
1986	   4	  21	  82	 39.16  	 70.37  	 69.64  	 74.63  	 76.03  	 80.86  	 73.57  	 71.11  	 72.26  	 77.99  	 39.53
1986	   5	   2	  82	 30.26  	 57.97  	 72.63  	 75.51  	 77.57  	 80.53  	 73.78  	 72.71  	 73.62  	 78.56  	 39.15
1986	   5	  16	  82	 47.40  	 77.49  	 84.24  	 87.29  	 81.27  	 80.53  	 75.26  	 73.12  	 73.53  	 77.24  	 39.32
1986	   5	  30	  82	 43.25  	 75.30  	 83.00  	 88.14  	 82.50  	 80.93  	 75.79  	 73.14  	 74.96  	 78.94  	 39.43
1986	   6	  18	  82	 35.80  	 61.96  	 73.39  	 77.45  	 80.60  	 80.18  	 75.21  	 73.14  	 73.56  	 79.52  	 39.06
1986	   7	   7	  82	 14.17 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1986	   7	  14	  82	 27.15 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1986	   7	  31	  82	 11.27 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99 -	999.99
1986	   8	  15	  82	 21.34  	 48.70  	 47.17  	 64.23  	 71.78  	 76.28  	 73.82  	 72.12  	 78.99  	 74.67  	 39.03
1986	   8	  29	  82	 15.43  	 32.35  	 49.66  	 62.98  	 69.13  	 75.13  	 72.05  	 73.80  	 73.88  	 76.87  	 39.35
1986	   9	  17	  82	 11.22  	 16.43  	 43.45  	 56.71  	 67.38  	 76.05  	 71.97  	 71.89  	 72.80  	 74.97  	 39.19
1986	  10	   1	  82	 35.97  	 59.81  	 62.91  	 57.69  	 67.00  	 73.86  	 70.26  	 70.10  	 69.04  	 73.04  	 38.52
1986	  10	  30	  82	 32.65  	 67.42  	 74.63  	 78.65  	 79.30  	 78.24  	 72.91  	 71.77  	 72.09  	 77.58  	 38.67
1986	  11	  26	  82	 54.21  	 76.58  	 85.51  	 86.58  	 79.36  	 78.30  	 73.46  	 72.31  	 73.87  	 78.95  	 38.49
1986	  12	  30	  82	 41.16  	 70.43  	 78.18  	 85.37  	 81.29  	 77.37  	 73.20  	 71.81  	 73.45  	 79.24  	 39.34
1987	   1	  30	  82	 41.02  	 68.90  	 75.28  	 79.53  	 80.26  	 78.22  	 72.58  	 71.68  	 72.91  	 77.89  	 39.03
1987	   2	  27	  82	 49.88  	 79.45  	 85.40  	 87.36  	 79.37  	 78.63  	 73.42  	 72.60  	 73.33  	 78.80  	 39.24
1987	   3	  18	  82	 44.24  	 72.60  	 85.43  	 87.81  	 82.22  	 80.49  	 74.82  	 72.84  	 73.67  	 78.52  	 39.63
1987	   3	  31	  82	 43.88  	 69.07  	 76.98  	 85.96  	 80.57  	 77.55  	 72.74  	 72.66  	 73.64  	 77.80  	 38.82
1987	   4	  16	  82	 41.73  	 78.93  	 85.85  	 88.49  	 81.23  	 80.41  	 73.98  	 72.41  	 74.14  	 79.91  	 39.96
1987	   4	  29	  82	 33.55  	 59.03  	 71.92  	 76.88  	 80.68  	 79.11  	 74.81  	 73.16  	 73.82  	 79.69  	 39.80
1987	   5	  15	  82	 28.24  	 53.69  	 67.55  	 72.00  	 75.79  	 79.42  	 74.64  	 72.41  	 73.65  	 80.49  	 39.79
1987	   5	  29	  82	 18.21  	 39.17  	 66.55  	 72.80  	 74.96  	 77.87  	 74.63  	 73.80  	 75.29  	 81.04  	 40.52
1987	   6	  17	  82	 26.66  	 50.12  	 67.56  	 70.22  	 73.62  	 79.19  	 75.61  	 72.54  	 75.28  	 79.77  	 39.63
1987	   7	   1	  82	 32.43  	 70.46  	 73.17  	 70.46  	 74.65  	 78.68  	 72.68  	 73.09  	 72.35  	 78.27  	 38.89
1987	   7	  16	  82	 30.91  	 62.28  	 72.81  	 77.07  	 77.91  	 80.50  	 75.73  	 74.15  	 75.90  	 80.50  	 40.12
1987	   8	   4	  82	 33.58  	 59.74  	 68.20  	 71.35  	 73.92  	 80.47  	 75.08  	 73.42  	 74.75  	 80.39  	 39.45
1987	   8	  17	  82	 17.28  	 30.72  	 62.83  	 70.61  	 74.37  	 77.55  	 74.45  	 74.54  	 75.29  	 81.06  	 40.11
1987	   8	  28	  82	 23.29  	 27.63  	 45.87  	 62.86  	 73.19  	 77.10  	 72.10  	 73.69  	 74.35  	 81.10  	 39.84
1987	   9	  16	  82	 23.29  	 13.95  	 39.03  	 52.40  	 66.99  	 74.45  	 71.66  	 70.26  	 71.17  	 78.46  	 38.62
1987	   9	  30	  82	 23.04  	 17.16  	 39.46  	 50.82  	 67.48  	 74.86  	 72.78  	 72.20  	 71.71  	 75.85  	 39.63
1987	  10	  29	  82	 20.87  	 23.75  	 40.69  	 51.54  	 66.18  	 73.34  	 71.86  	 71.61  	 69.64  	 74.90  	 38.72
1987	  12	   2	  82	 31.50  	 64.87  	 72.35  	 66.43  	 66.26  	 73.17  	 70.13  	 70.29  	 68.98  	 71.77  	 38.07
1988	   1	   6	  82	 34.38  	 69.09  	 77.26  	 81.76  	 79.14  	 76.61  	 71.87  	 72.20  	 71.22  	 76.85  	 38.71
1988	   1	  27	  82	 37.26  	 67.95  	 74.78  	 78.40  	 77.19  	 75.42  	 70.12  	 69.80  	 69.64  	 75.18  	 37.83
1988	   3	   2	  82	 42.02  	 68.34  	 76.13  	 79.86  	 79.13  	 77.26  	 72.07  	 71.10  	 71.26  	 75.97  	 38.14
1988	   3	  18	  82	 43.31  	 71.46  	 79.71  	 87.07  	 79.55  	 77.18  	 73.83  	 70.73  	 71.95  	 77.26  	 38.96
1988	   3	  31	  82	 52.55  	 78.08  	 86.40  	 88.04  	 80.39  	 77.76  	 73.56  	 71.83  	 72.57  	 77.18  	 38.71
1988	   4	  15	  82	 37.47  	 64.89  	 73.81  	 76.11  	 78.32  	 77.58  	 73.32  	 73.32  	 71.85  	 76.03  	 38.75
1988	   4	  29	  82	 40.90  	 59.31  	 72.15  	 74.30  	 77.20  	 79.02  	 73.64  	 72.81  	 72.98  	 78.19  	 39.22
1988	   5	  13	  82	 29.15  	 58.01  	 70.24  	 72.89  	 74.71  	 77.85  	 72.80  	 72.39  	 73.30  	 78.67  	 40.12
1988	   5	  27	  82	 21.57  	 44.66  	 66.22  	 71.67  	 74.81  	 75.80  	 72.50  	 72.91  	 72.91  	 79.19  	 40.09
1988	   6	  16	  82	  8.33  	 17.12  	 58.17  	 70.52  	 74.45  	 76.20  	 72.61  	 73.69  	 73.44  	 79.70  	 39.81
1988	   7	   8	  82	  8.44  	 11.72  	 44.76  	 64.76  	 70.08  	 74.89  	 72.98  	 71.90  	 72.57  	 78.79  	 40.06
1988	   7	  15	  82	 17.45  	 16.72  	 43.62  	 65.28  	 71.19  	 77.35  	 71.60  	 72.02  	 71.94  	 79.60  	 40.38
1988	   7	  29	  82	 11.08  	 14.72  	 43.12  	 63.19  	 69.69  	 74.94  	 70.19  	 72.10  	 72.44  	 75.60  	 40.26
1988	   8	   1	  82	 14.46  	 25.88  	 46.56  	 63.35  	 72.48  	 75.40  	 72.60  	 72.11  	 72.48  	 75.76  	 39.58
1988	   8	  17	  82	  8.13  	 12.09  	 42.72  	 60.79  	 70.41  	 76.19  	 70.75  	 71.25  	 71.92  	 74.35  	 39.60
1988	   9	   1	  82	 14.58  	 14.24  	 42.82  	 59.89  	 68.42  	 73.89  	 71.15  	 70.66  	 70.32  	 74.22  	 39.14
1988	   9	  15	  82	 19.99  	 36.51  	 46.21  	 59.65  	 68.11  	 73.34  	 69.77  	 71.35  	 69.19  	 72.43  	 38.91
1988	   9	  29	  82	 27.85  	 56.48  	 66.08  	 61.78  	 67.90  	 73.61  	 70.46  	 71.70  	 69.06  	 71.79  	 38.09
1988	  10	  27	  82	 31.60  	 61.66  	 71.66  	 70.02  	 69.69  	 73.87  	 69.61  	 70.35  	 68.46  	 70.35  	 37.39
1988	  11	  28	  82	 43.74  	 76.12  	 84.13  	 86.17  	 80.20  	 78.32  	 75.79  	 71.71  	 70.73  	 77.26  	 39.08
1989	   1	   5	  82	 48.12  	 75.08  	 82.26  	 84.69  	 78.23  	 75.56  	 69.99  	 70.72  	 70.47  	 76.21  	 39.76
1989	   2	   1	  82	 44.40  	 75.75  	 85.82  	 86.73  	 79.46  	 78.72  	 74.34  	 71.29  	 72.44  	 77.89 -	999.99
1989	   3	   1	  82	 44.24  	 70.50  	 76.73  	 86.27  	 78.34  	 76.48  	 72.44  	 71.47  	 72.93  	 75.76 -	999.99
1989	   3	  17	  82	 40.38  	 69.14  	 79.07  	 87.28  	 81.54  	 79.40  	 73.82  	 72.67  	 72.02  	 76.12  	 39.21
1989	   3	  31	  82	 53.11  	 79.04  	 85.42  	 87.79  	 81.98  	 79.53  	 73.89  	 71.68  	 73.15  	 77.40  	 38.74
1989	   4	  14	  82	 38.12  	 66.50  	 76.64  	 80.24  	 81.39  	 78.61  	 73.29  	 72.47  	 71.82  	 76.73  	 39.18
1989	   4	  28	  82	 32.81  	 55.92  	 71.18  	 76.99  	 77.49  	 79.48  	 74.17  	 73.75  	 73.75  	 78.15  	 39.57
1989	   5	  12	  82	 31.15  	 52.63  	 66.18  	 70.67  	 73.61  	 78.10  	 73.20  	 72.47  	 72.96  	 77.12  	 38.72
1989	   5	  17	  82	 24.15  	 53.16  	 66.71  	 70.87  	 73.49  	 76.70  	 73.60  	 73.13  	 72.89  	 73.72  	 39.54
1989	   6	   1	  82	 11.30  	 21.54  	 60.50  	 70.22  	 79.93  	 76.94  	 72.71  	 73.54  	 72.79  	 77.52  	 40.01
1989	   6	  15	  82	 33.91  	 58.64  	 61.53  	 66.97  	 70.60  	 75.54  	 72.16  	 71.42  	 72.99  	 76.78  	 38.80
